Draw,Date,Result,Super Ball
baloto,2024-09-11,06-12-24-25-28,15
revancha,2024-09-11,04-12-28-32-40,10
baloto,2024-09-07,06-19-23-27-35,10
revancha,2024-09-07,03-05-06-36-42,01
baloto,2024-09-04,12-17-22-36-43,11
revancha,2024-09-04,23-25-34-42-43,04
baloto,2024-08-31,01-08-09-22-34,02
revancha,2024-08-31,02-04-20-22-32,11
baloto,2024-08-28,06-07-11-27-42,15
revancha,2024-08-28,02-04-21-32-33,13
baloto,2024-08-24,01-03-21-30-39,15
revancha,2024-08-24,01-13-14-15-33,01
baloto,2024-08-21,20-21-23-32-42,14
revancha,2024-08-21,04-13-37-39-41,15
baloto,2024-08-17,04-10-15-33-37,01
revancha,2024-08-17,01-22-27-31-40,11
baloto,2024-08-14,03-09-13-21-27,07
revancha,2024-08-14,03-22-25-33-38,12
baloto,2024-08-10,01-12-18-26-39,11
revancha,2024-08-10,02-04-32-39-42,03
baloto,2024-08-07,01-21-36-41-42,16
revancha,2024-08-07,04-17-24-29-43,05
baloto,2024-08-03,05-21-24-34-43,03
revancha,2024-08-03,08-14-23-28-32,13
baloto,2024-07-31,02-24-32-38-42,10
revancha,2024-07-31,01-04-09-33-37,15
baloto,2024-07-27,19-25-32-38-41,13
revancha,2024-07-27,08-12-22-25-39,11
baloto,2024-07-24,06-29-31-36-41,06
revancha,2024-07-24,09-12-21-30-41,02
baloto,2024-07-20,02-03-10-29-43,16
revancha,2024-07-20,06-11-26-27-40,07
baloto,2024-07-17,16-33-36-39-43,06
revancha,2024-07-17,23-24-27-29-40,09
baloto,2024-07-13,06-07-18-25-41,16
revancha,2024-07-13,07-15-21-29-36,08
baloto,2024-07-10,03-11-21-22-36,11
revancha,2024-07-10,12-15-21-26-39,09
baloto,2024-07-06,14-18-26-32-42,01
revancha,2024-07-06,08-10-16-30-35,11
baloto,2024-07-03,09-19-27-32-43,02
revancha,2024-07-03,05-07-19-22-25,05
baloto,2024-06-29,04-05-16-21-32,14
revancha,2024-06-29,08-19-25-28-41,02
baloto,2024-06-26,06-13-20-36-43,09
revancha,2024-06-26,07-11-32-40-41,09
baloto,2024-06-22,04-07-21-25-33,16
revancha,2024-06-22,04-15-16-20-34,04
baloto,2024-06-19,12-17-22-23-39,13
revancha,2024-06-19,02-11-13-24-37,11
baloto,2024-06-15,06-10-18-40-43,16
revancha,2024-06-15,02-13-14-30-43,03
baloto,2024-06-12,04-09-15-20-34,01
revancha,2024-06-12,04-09-13-14-20,12
baloto,2024-06-08,05-16-17-29-38,07
revancha,2024-06-08,07-25-28-39-41,07
baloto,2024-06-05,03-19-24-38-39,05
revancha,2024-06-05,08-18-20-28-41,04
baloto,2024-06-01,16-22-26-27-37,09
revancha,2024-06-01,10-26-28-29-40,15
baloto,2024-05-29,07-08-14-15-19,06
revancha,2024-05-29,18-19-23-25-38,14
baloto,2024-05-25,12-18-39-40-41,03
revancha,2024-05-25,07-12-27-28-37,16
baloto,2024-05-22,05-11-14-21-33,06
revancha,2024-05-22,05-11-16-17-37,13
baloto,2024-05-18,12-19-28-35-42,04
revancha,2024-05-18,01-10-16-27-35,13
baloto,2024-05-15,02-04-10-27-41,02
revancha,2024-05-15,03-04-06-15-23,10
baloto,2024-05-11,04-11-16-21-39,08
